1.79,4.47,4.09,0.47,1.58,1.10,.1
-3.45,-0.73,3.44,1.19,1.67,-2.20,.2
-10.94,-8.67,-1.60,3.78,6.06,-3.56,.3
-17.07,-8.96,0.07,1.34,2.75,-6.55,.4
-17.06,-7.14,0.71,-0.57,-0.82,-5.42,.5
-14.30,-1.70,-2.11,0.58,-0.37,-2.93,.6
-10.67,-2.31,-2.04,-0.19,-1.20,-0.53,.7
-14.99,-0.86,-4.19,-0.01,-0.08,0.32,.8
-14.21,-8.38,-0.89,-0.39,0.92,3.12,.9
-11.23,-8.74,-1.82,0.12,1.23,4.64,1
-7.19,-6.63,-2.20,0.13,1.31,4.37,1.1
-3.33,-4.46,-2.00,-0.48,0.82,2.28,1.2
-2.06,-6.13,-1.01,-0.44,0.32,0.37,1.3
-12.69,-9.24,-2.15,-0.37,-1.17,-4.29,1.4
-13.49,-5.50,-0.87,-0.70,-1.82,-4.81,1.5
-13.11,-5.59,0.69,-1.86,-1.52,-3.07,1.6
-12.60,-4.04,-0.37,-1.10,-1.05,-2.23,1.7
-14.80,-2.99,-1.09,-0.57,-0.97,-1.37,1.8
-13.47,-2.94,-1.58,-0.30,-0.58,0.19,1.9
-12.46,-4.97,-0.95,0.22,0.65,3.09,2
-11.33,-7.75,-0.84,-0.10,-0.02,4.12,2.1
-8.04,-6.16,-1.44,0.80,0.35,3.79,2.2
-4.26,-4.45,-1.96,1.08,0.82,2.65,2.3
-2.86,-5.15,-1.62,0.25,0.17,0.94,2.4
-10.97,-6.65,-1.00,-0.90,-0.64,-3.35,2.5
-10.75,-3.73,-2.10,-0.22,-0.71,-3.86,2.6
-12.16,-4.31,-0.14,-1.39,-0.75,-3.04,2.7
-13.76,-2.19,-1.38,-0.88,-0.54,-2.56,2.8
-16.88,-2.23,-2.97,0.31,-0.12,-0.80,2.9
-14.28,-5.11,-1.34,-0.04,0.10,1.31,3
-11.07,-5.15,-0.08,-0.65,0.58,3.24,3.1
-8.03,-6.06,-0.46,-0.25,-0.50,3.71,3.2
-6.43,-4.89,-1.29,0.79,0.81,2.68,3.3
-6.46,-5.96,-1.59,0.30,0.41,1.60,3.4
-8.73,-5.71,-1.10,-0.53,-0.43,-1.48,3.5
-10.95,-4.33,-2.09,-0.83,-1.29,-3.39,3.6
-10.61,-3.97,-0.73,-0.59,-0.38,-3.29,3.7
-12.24,-3.21,-0.10,-1.03,-0.91,-2.92,3.8
-16.60,-3.18,-2.71,0.35,-0.30,-1.77,3.9
-14.06,-2.66,-1.66,-0.15,-0.41,0.12,4
-11.40,-5.50,-0.92,-0.65,0.03,3.56,4.1
-9.23,-6.09,-0.92,-0.23,-0.19,3.81,4.2
-10.78,-3.92,-2.54,0.89,1.34,3.07,4.3
-8.99,-0.33,-2.04,-0.26,1.12,3.01,4.4
-4.28,3.44,-4.22,-1.05,-0.50,1.28,4.5
-8.91,3.65,-0.24,-1.65,-1.01,-0.14,4.6
-5.45,3.02,-6.98,1.35,1.32,0.54,4.7
-5.30,3.62,-1.61,-2.38,0.50,-0.01,4.8
-8.14,7.65,6.05,-1.87,0.16,-0.61,4.9
-7.95,5.39,0.95,1.14,1.63,0.35,5
-5.09,2.59,-5.76,1.80,1.31,-0.26,5.1
-5.59,3.20,-5.69,1.82,2.12,-0.05,5.2
-3.02,2.53,-5.41,0.70,0.43,-0.39,5.3
-6.61,1.92,-6.93,-0.42,-0.79,-1.17,5.4
-6.22,-2.16,-4.93,-2.60,-1.18,-1.46,5.5
-12.00,-4.88,-3.69,-2.34,0.19,-2.12,5.6
-9.15,-6.62,-2.01,-1.51,1.39,-3.08,5.7
-11.84,-5.83,-1.33,-2.90,-0.58,-4.59,5.8
-13.77,-1.26,-0.47,-1.66,0.57,-3.95,5.9
-14.69,-0.43,-6.53,1.51,0.48,-1.07,6
-16.04,-1.75,-5.16,-0.09,-0.10,0.35,6.1
-12.10,-4.71,-4.54,0.04,0.06,3.33,6.2
-10.29,-5.88,-4.70,0.13,-0.53,4.00,6.3
-7.50,-5.42,-3.91,0.19,-0.09,4.08,6.4
-6.33,-5.53,-4.05,0.17,0.26,2.71,6.5
-7.62,-5.01,-2.41,-0.45,-0.70,-1.10,6.6
-8.85,-3.68,-5.39,0.21,-0.86,-2.79,6.7
-9.85,-4.31,-3.61,-0.56,0.12,-3.46,6.8
-13.17,-2.77,-2.89,-0.90,-0.39,-4.10,6.9
-13.45,0.76,-6.10,1.95,1.01,-1.98,7
-12.83,-1.71,-5.98,0.19,0.19,0.23,7.1
-12.68,-3.89,-5.09,-1.26,0.08,1.65,7.2
-10.80,-5.20,-4.22,-2.13,-0.27,3.22,7.3
-7.64,-5.08,-3.05,-2.14,-0.95,3.98,7.4
-3.70,-3.14,-2.84,-0.63,-0.41,2.37,7.5
-3.31,-3.07,-1.89,-0.64,-0.30,0.79,7.6
-10.51,-4.38,-5.29,0.77,0.45,-3.08,7.7
-10.49,-2.50,-4.94,1.08,0.41,-3.68,7.8
-12.47,-1.63,-2.27,-0.63,-0.51,-3.47,7.9
-11.48,0.07,-2.58,-0.14,-0.63,-2.12,8
-11.69,1.32,-7.52,0.90,-0.15,0.02,8.1
-14.33,-4.38,-5.82,-1.92,-0.42,1.35,8.2
-11.01,-5.21,-3.97,-2.06,-0.37,3.36,8.3
-6.70,-4.16,-3.22,-1.05,-0.59,3.67,8.4
-2.94,-3.12,-3.21,0.00,0.38,2.35,8.5
-4.96,-5.05,-2.96,-0.68,0.48,0.11,8.6
-13.90,-4.18,-4.89,-0.49,1.18,-4.22,8.7
-10.37,-2.18,-5.39,-0.02,-0.13,-3.12,8.8
-9.52,-3.46,-3.20,-1.31,-0.12,-2.63,8.9
-10.26,-2.58,-1.68,-1.73,-0.31,-2.75,9
-11.74,-1.30,-3.91,-0.27,-0.38,-1.72,9.1
-11.28,0.64,-4.84,0.12,-0.32,-0.46,9.2
-11.50,-3.11,-4.72,-0.18,-0.55,1.60,9.3
-10.83,-3.30,-4.74,0.12,0.27,2.39,9.4
-9.89,-4.67,-4.37,-0.51,-0.16,3.13,9.5
-6.73,-3.93,-3.81,-0.29,-0.06,3.06,9.6
-4.34,-2.99,-2.73,-0.38,0.02,1.87,9.7
-5.86,-4.50,-2.84,-0.49,-0.03,-0.40,9.8
-11.10,-4.62,-5.32,0.11,0.48,-3.03,9.9
-9.49,-2.82,-4.41,-0.24,0.10,-3.18,10
-10.73,-3.12,-3.04,-1.40,-0.24,-2.97,10.1
-11.77,-0.65,-3.52,-0.17,0.10,-2.49,10.2
-14.11,-1.77,-7.12,1.02,0.07,-1.07,10.3
-11.58,-1.65,-3.84,-0.29,0.06,0.60,10.4
-11.11,-3.09,-4.39,-0.43,0.24,2.45,10.5
-10.52,-4.94,-4.16,-0.92,0.12,3.06,10.6
-8.78,-5.04,-2.33,-1.46,-0.70,2.96,10.7
-4.53,-3.62,-2.10,0.33,-0.14,2.38,10.8
-4.28,-3.59,-3.17,0.73,-0.16,0.86,10.9
-9.16,-4.40,-5.15,0.64,-0.42,-2.47,11
-10.61,-3.41,-4.75,0.54,-0.41,-3.25,11.1
-11.75,-2.24,-4.70,0.60,-0.21,-3.16,11.2
-10.89,0.47,-6.04,1.27,0.16,-2.18,11.3
-15.49,-2.82,-7.06,0.70,0.70,-0.18,11.4
-13.89,-5.16,-3.48,-0.60,1.11,0.86,11.5
-10.14,-4.20,-1.67,-0.77,0.67,2.07,11.6
-8.49,-6.12,-2.10,-0.62,0.11,2.99,11.7
-8.20,-5.57,-1.96,-0.19,0.19,1.95,11.8
-9.61,-6.90,-3.06,0.09,-0.11,1.11,11.9
-8.93,-4.60,-3.86,1.78,-0.11,-0.11,12
-5.31,-3.78,-4.61,2.41,-0.87,0.48,12.1
-8.50,-3.64,-4.87,2.24,-0.58,-1.38,12.2
-11.40,-2.30,-5.71,2.46,-0.26,-1.90,12.3
-8.08,-1.16,-8.01,3.82,1.20,-0.52,12.4
-10.69,-5.37,-3.78,-0.02,1.61,0.17,12.5
-14.00,-3.03,-2.08,-0.30,1.50,-1.41,12.6
-11.45,-3.58,-2.77,0.17,2.79,1.42,12.7
-9.98,-6.28,-1.43,-1.50,1.61,2.74,12.8
-9.59,-5.35,-1.75,-1.16,-0.45,1.88,12.9
-8.35,-4.66,-1.29,-0.05,-0.59,1.87,13
-5.99,-6.39,-5.37,2.08,-1.75,1.76,13.1
-4.31,-4.20,-6.25,2.90,-1.30,0.95,13.2
-7.37,-3.42,-6.28,2.31,-0.43,-0.85,13.3
-8.91,-2.40,-6.95,2.44,-0.04,-1.09,13.4
-8.62,-1.60,-6.75,1.93,0.35,-0.69,13.5
-10.52,-2.24,-3.37,-0.15,0.83,-0.28,13.6
-10.72,-2.56,-3.43,0.53,1.07,0.36,13.7
-9.06,-2.09,-4.28,1.00,2.03,1.20,13.8
-9.25,-4.58,-2.60,-2.19,-0.15,1.84,13.9
-7.18,-3.44,-1.39,-1.73,-0.23,1.59,14
-9.11,-5.78,-4.29,0.11,-0.70,1.13,14.1
-8.19,-2.68,-4.63,0.95,-0.54,0.30,14.2
-7.46,-2.98,-7.16,1.39,-1.24,-0.93,14.3
-7.09,-2.33,-3.51,0.17,-0.50,-1.90,14.4
-8.77,-2.16,-3.82,-0.10,-0.92,-2.10,14.5
-10.99,-0.94,-6.24,1.45,0.38,-1.79,14.6
-14.35,-3.18,-6.19,0.83,0.56,-0.83,14.7
-12.58,-4.59,-3.51,-1.46,0.66,1.15,14.8
-10.00,-3.59,-3.17,-1.24,0.40,2.13,14.9
-8.30,-4.45,-2.70,-1.20,-0.21,2.90,15
-5.34,-4.07,-2.74,-0.53,-0.10,2.70,15.1
-6.05,-5.16,-3.60,-0.33,-0.27,0.57,15.2
